timestamp,cpu_percent,memory_usage_mb,memory_percent,response_time_ms,status
2025-09-25 18:26:49,69.67,957,93.46,554,unhealthy
2025-09-25 18:27:06,74.27,929.8,90.80,2221,unhealthy
2025-09-25 18:27:24,68.79,857,83.69,2812,unhealthy
2025-09-25 18:27:38,76.41,917.9,89.64,1845,unhealthy
2025-09-25 18:27:55,69.74,808.5,78.96,4606,healthy
2025-09-25 18:28:12,76.25,820.5,80.13,3455,unhealthy
2025-09-25 18:28:27,63.25,535.6,52.30,4559,healthy
2025-09-25 18:28:33,0.00,11,100.00,39,unhealthy
2025-09-25 18:28:45,90.58,1019,99.51,17,unhealthy
2025-09-25 18:28:56,87.76,881.9,86.12,1028,unhealthy
2025-09-25 18:29:09,83.38,621.6,60.70,3646,healthy
2025-09-25 18:29:17,73.54,102.1,9.97,3432,healthy
2025-09-25 18:29:26,59.41,752.2,73.46,1793,healthy
2025-09-25 18:29:32,63.20,55.71,5.44,315,healthy
2025-09-25 18:29:39,64.68,483.2,47.19,553,healthy
2025-09-25 18:29:47,85.93,925.4,90.37,1129,unhealthy
2025-09-25 18:29:54,68.25,322.6,31.50,756,healthy
2025-09-25 18:30:00,70.06,693.3,67.71,440,healthy
2025-09-25 18:30:08,72.45,988.9,96.57,1278,healthy
2025-09-25 18:30:14,83.72,394.9,38.56,160,healthy
2025-09-25 18:30:20,88.05,797.1,77.84,267,healthy
2025-09-25 18:30:25,0.01,23.61,2.31,23,healthy
2025-09-25 18:30:31,0.01,23.7,2.31,34,healthy
2025-09-25 18:30:44,0.00,11,100.00,19,unhealthy
2025-09-25 18:31:01,0.00,11,100.00,22,unhealthy
2025-09-25 18:31:19,0.00,11,100.00,19,unhealthy
2025-09-25 18:31:38,0.00,11,100.00,26,unhealthy
2025-09-25 18:31:58,0.00,11,100.00,29,unhealthy
2025-09-25 18:32:14,0.00,11,100.00,19,unhealthy
2025-09-25 18:32:29,0.00,11,100.00,13,unhealthy
2025-09-25 18:32:47,65.69,1009,98.54,388,unhealthy
2025-09-25 18:33:05,0.00,11,100.00,21,unhealthy
2025-09-25 18:33:21,0.00,11,100.00,14,unhealthy
2025-09-25 18:33:38,0.00,11,100.00,16,unhealthy
2025-09-25 18:33:53,0.00,11,100.00,12,unhealthy
2025-09-25 18:34:07,0.00,11,100.00,40,unhealthy
2025-09-25 18:34:22,0.00,11,100.00,19,unhealthy
2025-09-25 18:34:36,0.00,11,100.00,28,unhealthy
2025-09-25 18:34:55,0.00,11,100.00,13,unhealthy
2025-09-25 18:35:13,0.00,11,100.00,16,unhealthy
2025-09-25 18:35:32,0.00,11,100.00,25,unhealthy
2025-09-25 18:35:53,0.00,11,100.00,11,unhealthy
2025-09-25 18:36:12,0.00,11,100.00,68,healthy
2025-09-25 18:36:29,0.00,11,100.00,15,unhealthy
2025-09-25 18:36:50,70.37,1020,99.61,68,unhealthy
2025-09-25 18:37:08,0.00,11,100.00,52,unhealthy
2025-09-25 18:37:22,0.00,11,100.00,16,unhealthy
2025-09-25 18:37:53,72.68,29.95,2.92,11583,unhealthy
2025-09-25 18:38:13,0.00,11,100.00,15,unhealthy
2025-09-25 18:38:30,0.00,11,100.00,13,unhealthy
2025-09-25 18:38:46,0.00,11,100.00,15,unhealthy
2025-09-25 18:39:02,0.00,11,100.00,19,unhealthy
2025-09-25 18:39:33,0.00,2.789,0.27,9591,healthy
2025-09-25 18:39:41,0.00,11,100.00,60,unhealthy
2025-09-25 18:39:54,0.00,11,100.00,19,unhealthy
2025-09-25 18:40:10,0.00,11,100.00,15,unhealthy
2025-09-25 18:40:27,0.00,11,100.00,25,unhealthy
2025-09-25 18:40:46,0.00,11,100.00,11,unhealthy
2025-09-25 18:41:05,0.00,11,100.00,17,unhealthy
2025-09-25 18:41:20,0.00,11,100.00,13,unhealthy
2025-09-25 18:41:36,0.00,11,100.00,37,unhealthy
2025-09-25 18:41:53,0.00,11,100.00,12,unhealthy
2025-09-25 18:42:11,0.00,11,100.00,15,unhealthy
2025-09-25 18:42:27,0.00,11,100.00,18,unhealthy
2025-09-25 18:42:44,0.00,11,100.00,25,unhealthy
2025-09-25 18:43:02,0.00,11,100.00,16,unhealthy
2025-09-25 18:43:19,0.00,11,100.00,35,unhealthy
2025-09-25 18:43:36,0.00,11,100.00,22,unhealthy
2025-09-25 18:43:55,0.00,11,100.00,30,unhealthy
2025-09-25 18:44:11,0.00,11,100.00,16,unhealthy
2025-09-25 18:44:28,0.00,11,100.00,13,unhealthy
2025-09-25 18:44:43,0.00,11,100.00,24,unhealthy
2025-09-25 18:45:03,0.00,11,100.00,18,unhealthy
